Layout of the layers,Angle of the tensile,Stress,Elongation
1,0,19.9,3.01
1,0,19.91,3.2
1,0,22,2.65
1,0,23.2,3.4
1,0,23.5,2.74
1,0,24.2,3.23
1,0,25.4,3.35
1,0,26.3,3.44
1,45,13.5,2.58
1,45,14.7,2.41
1,45,14.75,2.63
1,45,15.85,3.82
1,45,16.6,3.65
1,45,17.1,2.62
1,45,17.3,3.44
2,0,12,2.35
2,0,13.3,1.68
2,45,18.5,2.3
2,45,20.2,3.06
2,90,17.4,2.88
2,90,19.5,3.62
1,-10,14.13,6.3
1,0,23.05,3.13
1,1,20.86,1.81
1,10,10.07,-0.7
1,22,17.72,2.89
1,35,16.38,2.83
1,45,15.73,2.8
1,56,15.69,2.8
1,55,15.36,2.79
1,67,15.13,2.78
1,80,15.01,2.77
1,90,14.97,2.77
1,91,14.97,2.77
1,100,14.95,2.77
1,112,14.95,2.77
1,170,23.06,3.09
1,181,23.05,3.09
1,202,20.06,3.05
1,225,15.69,2.98
2,-10,17.11,4.32
2,0,14.18,2.23
2,1,19.43,4.94
2,10,22.7,3.1
2,22,22.51,3.09
2,35,22.06,3.07
2,45,21.42,3.04
2,46,21.34,3.04
2,55,20.44,3
2,67,18.9,2.94
2,80,17.25,2.87
2,90,16.3,2.83
2,91,16.22,2.82
2,100,15.69,2.8
2,112,15.28,2.78
2,260,21.09,3.06
2,290,15.69,2.98
